episode,step,category,entity_type,entity_index,x,y,ellipse_width,ellipse_height,ellipse_angle_deg
4,0,agent,defender,0,0.49042344093322754,0.09739014506340027,,,
4,0,agent,defender,1,0.28406840562820435,0.4114670753479004,,,
4,0,agent,defender,2,-0.13551299273967743,0.48128601908683777,,,
4,0,agent,defender,3,-0.43209171295166016,0.2515884339809418,,,
4,0,agent,defender,4,-0.4511995315551758,-0.21545067429542542,,,
4,0,agent,defender,5,-0.15146669745445251,-0.4765058755874634,,,
4,0,agent,defender,6,0.2374907284975052,-0.43999791145324707,,,
4,0,agent,intruder,0,-3.4946494102478027,3.575951099395752,,,
4,0,agent,intruder,1,-4.98520040512085,-0.38441479206085205,,,
4,0,agent,intruder,2,2.3077619075775146,-4.4355645179748535,,,
4,0,ellipse,intruder,0,-3.4946494102478027,3.575951099395752,6.0,6.0,90.0
4,0,ellipse,intruder,1,-4.98520040512085,-0.38441479206085205,6.0,6.0,90.0
4,0,ellipse,intruder,2,2.3077619075775146,-4.4355645179748535,6.0,6.0,90.0
4,1,agent,defender,0,0.3911571502685547,0.08529871702194214,,,
4,1,agent,defender,1,0.1841120719909668,0.4085118770599365,,,
4,1,agent,defender,2,-0.23491203784942627,0.49223265051841736,,,
4,1,agent,defender,3,-0.5257331132888794,0.28667813539505005,,,
4,1,agent,defender,4,-0.5477003455162048,-0.18922875821590424,,,
4,1,agent,defender,5,-0.25133103132247925,-0.4712984561920166,,,
4,1,agent,defender,6,0.13781781494617462,-0.4480794370174408,,,
4,1,agent,intruder,0,-3.422393798828125,3.5068199634552,,,
4,1,agent,intruder,1,-4.8852033615112305,-0.3851703703403473,,,
4,1,agent,intruder,2,2.2790918350219727,-4.3397626876831055,,,
4,1,ellipse,intruder,0,-2.981445789337158,4.031853675842285,5.98836289804248,3.396251932179216,124.70143458122314
4,1,ellipse,intruder,1,-4.969080924987793,-1.2024449110031128,5.262768218545029,3.3078912997613386,-167.90412779092563
4,1,ellipse,intruder,2,2.98166561126709,-3.500770092010498,6.515523155470324,3.2698034348815694,126.5224848539433
4,2,agent,defender,0,0.2914741337299347,0.07734280824661255,,,
4,2,agent,defender,1,0.08416055142879486,0.41162556409835815,,,
4,2,agent,defender,2,-0.33243900537490845,0.5143344402313232,,,
4,2,agent,defender,3,-0.6196079254150391,0.32113850116729736,,,
4,2,agent,defender,4,-0.6395159959793091,-0.14960697293281555,,,
4,2,agent,defender,5,-0.3502795696258545,-0.4568351209163666,,,
4,2,agent,defender,6,0.038282111287117004,-0.4577046036720276,,,
4,2,agent,intruder,0,-3.3465516567230225,3.441643476486206,,,
4,2,agent,intruder,1,-4.78528356552124,-0.38116905093193054,,,
4,2,agent,intruder,2,2.244431495666504,-4.245961666107178,,,
4,2,ellipse,intruder,0,-3.273937225341797,3.8723063468933105,5.8844051662164585,2.70380831775026,128.32731551166924
4,2,ellipse,intruder,1,-5.08969259262085,-1.137887716293335,5.247737362796981,2.6753855282162475,-165.02873147872032
4,2,ellipse,intruder,2,2.555279016494751,-4.200394153594971,5.880667171012932,2.753263777665392,129.0059940931039
4,3,agent,defender,0,0.19429194927215576,0.05377116799354553,,,
4,3,agent,defender,1,-0.014976084232330322,0.39851340651512146,,,
4,3,agent,defender,2,-0.43239685893058777,0.511431097984314,,,
4,3,agent,defender,3,-0.7191470265388489,0.330728679895401,,,
4,3,agent,defender,4,-0.7384543418884277,-0.1350739598274231,,,
4,3,agent,defender,5,-0.44976913928985596,-0.4669259488582611,,,
4,3,agent,defender,6,-0.056363627314567566,-0.48998749256134033,,,
4,3,agent,intruder,0,-3.2708256244659424,3.3763320446014404,,,
4,3,agent,intruder,1,-4.685529708862305,-0.37415823340415955,,,
4,3,agent,intruder,2,2.206953525543213,-4.153250217437744,,,
4,3,ellipse,intruder,0,-3.2750511169433594,3.876037120819092,5.885716145127663,2.2071687796352055,127.16269601781833
4,3,ellipse,intruder,1,-5.053990840911865,-1.1513423919677734,5.278478563755249,2.2171223477695685,-164.50668432623752
4,3,ellipse,intruder,2,2.171565294265747,-4.313079357147217,5.57072187143232,2.0260882025927014,129.0174344349323
4,4,agent,defender,0,0.10017184168100357,0.019986461848020554,,,
4,4,agent,defender,1,-0.11222847551107407,0.37523311376571655,,,
4,4,agent,defender,2,-0.5316826105117798,0.49950072169303894,,,
4,4,agent,defender,3,-0.8191248178482056,0.33283570408821106,,,
4,4,agent,defender,4,-0.8384254574775696,-0.1326703429222107,,,
4,4,agent,defender,5,-0.5471001863479614,-0.48987525701522827,,,
4,4,agent,defender,6,-0.1462971717119217,-0.5337134599685669,,,
4,4,agent,intruder,0,-3.195772171020508,3.310248851776123,,,
4,4,agent,intruder,1,-4.585905075073242,-0.36550191044807434,,,
4,4,agent,intruder,2,2.1680710315704346,-4.061119079589844,,,
4,4,ellipse,intruder,0,-3.482255220413208,3.7676525115966797,5.818486279186729,1.9195092380320817,129.0414100424035
4,4,ellipse,intruder,1,-4.903280258178711,-0.8865092396736145,5.232109269199551,1.8007489754848385,-165.38722825332573
4,4,ellipse,intruder,2,2.410062789916992,-4.3411407470703125,5.907238876078059,2.1506402015983843,126.44641960797321
4,5,agent,defender,0,0.009222455322742462,-0.021585270762443542,,,
4,5,agent,defender,1,-0.20719891786575317,0.3439183533191681,,,
4,5,agent,defender,2,-0.6300637722015381,0.48158028721809387,,,
4,5,agent,defender,3,-0.9190430045127869,0.32879191637039185,,,
4,5,agent,defender,4,-0.9383888840675354,-0.13537465035915375,,,
4,5,agent,defender,5,-0.6434568166732788,-0.5166221857070923,,,
4,5,agent,defender,6,-0.23361606895923615,-0.5824516415596008,,,
4,5,agent,intruder,0,-3.121326446533203,3.2434818744659424,,,
4,5,agent,intruder,1,-4.486372470855713,-0.35584452748298645,,,
4,5,agent,intruder,2,2.1283023357391357,-3.969367027282715,,,
4,5,ellipse,intruder,0,-3.4462482929229736,3.785285711288452,5.8413408321928255,1.674650885901876,127.56391966719971
4,5,ellipse,intruder,1,-4.640883445739746,-0.39501407742500305,5.483354579626156,1.4775227341881143,-172.9495529657764
4,5,ellipse,intruder,2,2.357818603515625,-4.301285266876221,6.014739707336428,2.0238136907138573,125.0241498664692
4,6,agent,defender,0,-0.0811724066734314,-0.06434938311576843,,,
4,6,agent,defender,1,-0.30134040117263794,0.31019327044487,,,
4,6,agent,defender,2,-0.7288687825202942,0.4661669135093689,,,
4,6,agent,defender,3,-1.018985390663147,0.3253985643386841,,,
4,6,agent,defender,4,-1.0383425951004028,-0.1384158730506897,,,
4,6,agent,defender,5,-0.7400041222572327,-0.5426725745201111,,,
4,6,agent,defender,6,-0.3208903670310974,-0.631269633769989,,,
4,6,agent,intruder,0,-3.047363758087158,3.176180124282837,,,
4,6,agent,intruder,1,-4.386906147003174,-0.34552815556526184,,,
4,6,agent,intruder,2,2.087887763977051,-3.8778975009918213,,,
4,6,ellipse,intruder,0,-3.360935688018799,3.782992124557495,6.071279320607333,1.55936614673694,126.12544826424654
4,6,ellipse,intruder,1,-4.708527565002441,-0.28665095567703247,5.297390448705293,1.4003329877711237,-174.46019711513992
4,6,ellipse,intruder,2,2.2128045558929443,-4.094727516174316,6.287691708347338,1.9193343301647312,124.00693968299667
4,7,agent,defender,0,-0.1714770495891571,-0.10730370879173279,,,
4,7,agent,defender,1,-0.3954484462738037,0.2763749957084656,,,
4,7,agent,defender,2,-0.8281983137130737,0.4546062648296356,,,
4,7,agent,defender,3,-1.118978500366211,0.3242246210575104,,,
4,7,agent,defender,4,-1.1383202075958252,-0.1405334621667862,,,
4,7,agent,defender,5,-0.8373035192489624,-0.5657557845115662,,,
4,7,agent,defender,6,-0.40869569778442383,-0.6791259050369263,,,
4,7,agent,intruder,0,-2.9737725257873535,3.1084723472595215,,,
4,7,agent,intruder,1,-4.287486553192139,-0.3347693979740143,,,
4,7,agent,intruder,2,2.0469658374786377,-3.786653757095337,,,
4,7,ellipse,intruder,0,-3.477067232131958,3.792353868484497,6.003480692291868,1.5230053180746508,125.6261202193732
4,7,ellipse,intruder,1,-4.468332290649414,-0.15667501091957092,5.3690909961652515,1.2221284589626769,-174.819899025813
4,7,ellipse,intruder,2,2.204186201095581,-3.836667776107788,6.4421813351993915,1.8566392080632035,123.96461436022183
4,8,agent,defender,0,-0.2611781060695648,-0.15150463581085205,,,
4,8,agent,defender,1,-0.4894198775291443,0.24217896163463593,,,
