episode,step,category,entity_type,entity_index,x,y,ellipse_width,ellipse_height,ellipse_angle_deg
2,0,agent,defender,0,0.49948179721832275,0.022758029401302338,,,
2,0,agent,defender,1,-0.49999314546585083,-0.002619786886498332,,,
2,0,agent,intruder,0,1.000200629234314,4.8989386558532715,,,
2,0,ellipse,intruder,0,1.000200629234314,4.8989386558532715,6.0,6.0,90.0
2,1,agent,defender,0,0.5184038877487183,0.12095148116350174,,,
2,1,agent,defender,1,-0.45344051718711853,0.08588361740112305,,,
2,1,agent,intruder,0,1.0490777492523193,4.811697483062744,,,
2,1,ellipse,intruder,0,1.026955008506775,5.004662036895752,5.774959593777984,3.487556787278216,79.49983938133556
2,2,agent,defender,0,0.5387850999832153,0.21885249018669128,,,
2,2,agent,defender,1,-0.4030705988407135,0.17227153480052948,,,
2,2,agent,intruder,0,1.101798176765442,4.726723670959473,,,
2,2,ellipse,intruder,0,1.0353403091430664,5.023761749267578,5.724185224940404,2.621974999050292,79.50032381069596
2,3,agent,defender,0,0.5560539960861206,0.3173501193523407,,,
2,3,agent,defender,1,-0.3575249910354614,0.2612973749637604,,,
2,3,agent,intruder,0,1.157631754875183,4.643762111663818,,,
2,3,ellipse,intruder,0,0.9452342391014099,5.177138328552246,5.663368323581907,2.239764857930431,80.43132106358769
2,4,agent,defender,0,0.5735313892364502,0.4158109724521637,,,
2,4,agent,defender,1,-0.31229838728904724,0.3504856824874878,,,
2,4,agent,intruder,0,1.2156271934509277,4.562297344207764,,,
2,4,ellipse,intruder,0,0.964277446269989,5.321768760681152,5.589727971774653,2.060621903571228,80.30110716784661
2,5,agent,defender,0,0.5898557901382446,0.514469563961029,,,
2,5,agent,defender,1,-0.26839351654052734,0.44033199548721313,,,
2,5,agent,intruder,0,1.2747395038604736,4.481639385223389,,,
2,5,ellipse,intruder,0,1.378145694732666,5.252201080322266,5.768447543070934,1.689458712438333,77.10051554913034
2,6,agent,defender,0,0.6057511568069458,0.6131981611251831,,,
2,6,agent,defender,1,-0.22527404129505157,0.5305578708648682,,,
2,6,agent,intruder,0,1.3341375589370728,4.401191234588623,,,
2,6,ellipse,intruder,0,1.5275790691375732,5.311749458312988,5.7473362122877525,1.646009560607361,75.35001906225064
2,7,agent,defender,0,0.6281402707099915,0.7106595635414124,,,
2,7,agent,defender,1,-0.1760801523923874,0.6176208257675171,,,
2,7,agent,intruder,0,1.3932512998580933,4.3205342292785645,,,
2,7,ellipse,intruder,0,1.4275237321853638,5.283668041229248,5.673817520170827,1.676594445164195,75.51451642846196
2,8,agent,defender,0,0.6546764373779297,0.8070744872093201,,,
2,8,agent,defender,1,-0.12315289676189423,0.7024660110473633,,,
2,8,agent,intruder,0,1.4516597986221313,4.239365100860596,,,
2,8,ellipse,intruder,0,1.654831051826477,5.452105522155762,5.607064907718992,1.7498379467546843,73.55372180363518
