episode,step,category,entity_type,entity_index,x,y,ellipse_width,ellipse_height,ellipse_angle_deg
1,0,agent,defender,0,0.4995550811290741,-0.02108810469508171,,,
1,0,agent,defender,1,0.32128140330314636,0.3831165134906769,,,
1,0,agent,defender,2,-0.18877188861370087,0.46299585700035095,,,
1,0,agent,defender,3,-0.48398441076278687,0.12553519010543823,,,
1,0,agent,defender,4,-0.4540160894393921,-0.20945023000240326,,,
1,0,agent,defender,5,-0.12117338925600052,-0.4850948452949524,,,
1,0,agent,defender,6,0.2709454298019409,-0.4202244281768799,,,
1,0,agent,intruder,0,-2.065913677215576,4.553240776062012,,,
1,0,agent,intruder,1,-0.6965963244438171,-4.951237678527832,,,
1,0,agent,intruder,2,-3.957122564315796,-3.0563347339630127,,,
1,0,ellipse,intruder,0,-2.065913677215576,4.553240776062012,6.0,6.0,90.0
1,0,ellipse,intruder,1,-0.6965963244438171,-4.951237678527832,6.0,6.0,90.0
1,0,ellipse,intruder,2,-3.957122564315796,-3.0563347339630127,6.0,6.0,90.0
1,1,agent,defender,0,0.43254703283309937,-0.09531694650650024,,,
1,1,agent,defender,1,0.24071702361106873,0.3238764703273773,,,
1,1,agent,defender,2,-0.2748029828071594,0.41201889514923096,,,
1,1,agent,defender,3,-0.573176920413971,0.08031686395406723,,,
1,1,agent,defender,4,-0.5467327237129211,-0.2469152808189392,,,
1,1,agent,defender,5,-0.19886848330497742,-0.5480509400367737,,,
1,1,agent,defender,6,0.20500844717025757,-0.49540629982948303,,,
1,1,agent,intruder,0,-2.0135440826416016,4.468050479888916,,,
1,1,agent,intruder,1,-0.6853767037391663,-4.851869106292725,,,
1,1,agent,intruder,2,-3.8719708919525146,-3.003901958465576,,,
1,1,ellipse,intruder,0,-1.6189955472946167,4.893345355987549,5.678573316382749,3.6535415792437114,111.36035791764733
1,1,ellipse,intruder,1,-0.929402232170105,-5.04936408996582,5.924615994764579,3.3233645799307885,85.80633042127637
1,1,ellipse,intruder,2,-3.616889238357544,-3.637362003326416,5.4973573049900075,3.562255872306638,-139.97496052570375
1,2,agent,defender,0,0.3566465675830841,-0.16042548418045044,,,
1,2,agent,defender,1,0.15138931572437286,0.2789258062839508,,,
1,2,agent,defender,2,-0.36541691422462463,0.3697209358215332,,,
1,2,agent,defender,3,-0.6671942472457886,0.04624718055129051,,,
1,2,agent,defender,4,-0.6426549553871155,-0.27518048882484436,,,
