episode,step,category,entity_type,entity_index,x,y,ellipse_width,ellipse_height,ellipse_angle_deg
1,0,agent,defender,0,0.4983387887477875,0.04072415456175804,,,
1,0,agent,defender,1,-0.4974324107170105,-0.050606295466423035,,,
1,0,agent,intruder,0,1.8156195878982544,-4.6587042808532715,,,
1,0,ellipse,intruder,0,1.8156195878982544,-4.6587042808532715,6.0,6.0,90.0
1,1,agent,defender,0,0.505317747592926,-0.05903201922774315,,,
1,1,agent,defender,1,-0.45465388894081116,-0.1409943401813507,,,
1,1,agent,intruder,0,1.7363566160202026,-4.597733974456787,,,
1,1,ellipse,intruder,0,1.455228567123413,-4.925729751586914,5.811586077289808,3.4537685452848246,105.40912828989504
1,2,agent,defender,0,0.5241206288337708,-0.1572483628988266,,,
1,2,agent,defender,1,-0.41138336062431335,-0.2311478853225708,,,
1,2,agent,intruder,0,1.6661877632141113,-4.526485443115234,,,
1,2,ellipse,intruder,0,1.663884162902832,-4.855003833770752,5.790919605882891,2.631190626501671,106.7490260088128
1,3,agent,defender,0,0.5355516672134399,-0.25659286975860596,,,
1,3,agent,defender,1,-0.37163203954696655,-0.32290753722190857,,,
1,3,agent,intruder,0,1.6089175939559937,-4.444509029388428,,,
1,3,ellipse,intruder,0,1.6654456853866577,-5.0644402503967285,5.678545120564833,2.3430189299565765,104.91345730013118
1,4,agent,defender,0,0.5455023646354675,-0.3560965657234192,,,
1,4,agent,defender,1,-0.3285219967365265,-0.41313794255256653,,,
1,4,agent,intruder,0,1.5615509748458862,-4.356438636779785,,,
1,4,ellipse,intruder,0,1.7311714887619019,-5.06142520904541,5.5813877389326665,1.9472904626960146,105.74111339449617
1,5,agent,defender,0,0.5540294051170349,-0.4557323455810547,,,
1,5,agent,defender,1,-0.28813832998275757,-0.5046210289001465,,,
1,5,agent,intruder,0,1.5201860666275024,-4.265395164489746,,,
1,5,ellipse,intruder,0,1.8354804515838623,-4.661056995391846,5.771772816939539,1.6468018875903678,108.86141517528306
1,6,agent,defender,0,0.5613828301429749,-0.5554616451263428,,,
1,6,agent,defender,1,-0.24873605370521545,-0.596531093120575,,,
1,6,agent,intruder,0,1.4815239906311035,-4.173171520233154,,,
1,6,ellipse,intruder,0,2.036426067352295,-4.796022891998291,5.6016434506351835,1.6790640739762606,110.0729249110562
1,7,agent,defender,0,0.5692694783210754,-0.6551501750946045,,,
1,7,agent,defender,1,-0.20373566448688507,-0.685833752155304,,,
1,7,agent,intruder,0,1.4435709714889526,-4.080653667449951,,,
1,7,ellipse,intruder,0,1.8810433149337769,-4.835919380187988,5.564238519993694,1.5103788045301643,109.55921698608472
1,8,agent,defender,0,0.5789031386375427,-0.7546850442886353,,,
1,8,agent,defender,1,-0.15562012791633606,-0.7734972834587097,,,
1,8,agent,intruder,0,1.4054299592971802,-3.988213062286377,,,
1,8,ellipse,intruder,0,1.800484538078308,-5.1341023445129395,5.229928900979757,1.447900435353279,108.31473848897576
1,9,agent,defender,0,0.5868353247642517,-0.8543699383735657,,,
1,9,agent,defender,1,-0.11321479082107544,-0.8640609979629517,,,
1,9,agent,intruder,0,1.36684250831604,-3.8959579467773438,,,
1,9,ellipse,intruder,0,1.6934876441955566,-4.974350929260254,5.5314061672190995,1.3556441328229418,108.06946969764236
1,10,agent,defender,0,0.5916979312896729,-0.9542516469955444,,,
1,10,agent,defender,1,-0.0795387327671051,-0.9582200050354004,,,
1,10,agent,intruder,0,1.3278285264968872,-3.803882360458374,,,
1,10,ellipse,intruder,0,1.5011274814605713,-4.41084098815918,5.793622734396069,1.1102370145935108,107.62773907981587
1,11,agent,defender,0,0.5944621562957764,-1.0542134046554565,,,
1,11,agent,defender,1,-0.04948192834854126,-1.053596019744873,,,
1,11,agent,intruder,0,1.2884876728057861,-3.7119460105895996,,,
1,11,ellipse,intruder,0,1.501339316368103,-4.8716139793396,5.87840129095944,1.1720337223414852,105.84550975604236
1,12,agent,defender,0,0.5940006971359253,-1.1542123556137085,,,
1,12,agent,defender,1,-0.020856887102127075,-1.1494115591049194,,,
1,12,agent,intruder,0,1.2489149570465088,-3.6201090812683105,,,
1,12,ellipse,intruder,0,1.5135470628738403,-4.746271133422852,6.307674061561471,1.0508908958449323,106.57440461105945
1,13,agent,defender,0,0.5916007161140442,-1.2541835308074951,,,
1,13,agent,defender,1,0.0018841605633497238,-1.2467914819717407,,,
1,13,agent,intruder,0,1.2091774940490723,-3.528343439102173,,,
1,13,ellipse,intruder,0,1.6734964847564697,-5.243103981018066,6.022977532035177,1.1138184162802012,107.1245910553428
1,14,agent,defender,0,0.5887801051139832,-1.354143738746643,,,
1,14,agent,defender,1,0.025456329807639122,-1.3439735174179077,,,
