episode,step,category,entity_type,entity_index,x,y,ellipse_width,ellipse_height,ellipse_angle_deg
5,0,agent,defender,0,0.49419891834259033,-0.07594352960586548,,,
5,0,agent,defender,1,-0.49835750460624695,-0.040494441986083984,,,
5,0,agent,intruder,0,-4.370493412017822,-2.428741931915283,,,
5,0,ellipse,intruder,0,-4.370493412017822,-2.428741931915283,6.0,6.0,90.0
5,1,agent,defender,0,0.39775294065475464,-0.10236647725105286,,,
5,1,agent,defender,1,-0.5837373733520508,-0.0925547331571579,,,
5,1,agent,intruder,0,-4.270549297332764,-2.4254040718078613,,,
5,1,ellipse,intruder,0,-4.401487350463867,-2.617764472961426,6.079809919413182,3.3599971849057564,-148.36053304071913
5,2,agent,defender,0,0.302402138710022,-0.13250325620174408,,,
5,2,agent,defender,1,-0.6721893548965454,-0.13920505344867706,,,
5,2,agent,intruder,0,-4.177853584289551,-2.387887716293335,,,
5,2,ellipse,intruder,0,-4.602369785308838,-2.4348857402801514,6.103932007303857,2.5950233366757716,-150.42091544866457
5,3,agent,defender,0,0.20735400915145874,-0.1635814756155014,,,
5,3,agent,defender,1,-0.759462296962738,-0.18802550435066223,,,
5,3,agent,intruder,0,-4.091028213500977,-2.338275909423828,,,
5,3,ellipse,intruder,0,-4.643294334411621,-2.3793740272521973,6.258378795766613,2.0698562599966257,-150.4038881052034
5,4,agent,defender,0,0.11211083084344864,-0.1940566450357437,,,
5,4,agent,defender,1,-0.8504287600517273,-0.22955980896949768,,,
5,4,agent,intruder,0,-4.005785942077637,-2.2859907150268555,,,
5,4,ellipse,intruder,0,-4.54895544052124,-2.58607816696167,6.347305834021288,1.7865926316913059,-150.51748065959623
5,5,agent,defender,0,0.01685178279876709,-0.2244822084903717,,,
5,5,agent,defender,1,-0.9424321055412292,-0.26874375343322754,,,
5,5,agent,intruder,0,-3.920597553253174,-2.2336175441741943,,,
5,5,ellipse,intruder,0,-4.655823230743408,-2.4726686477661133,6.312249668742531,1.5909488258615625,-149.71906199418518
5,6,agent,defender,0,-0.07772400975227356,-0.2569694221019745,,,
5,6,agent,defender,1,-1.031599760055542,-0.3140110373497009,,,
5,6,agent,intruder,0,-3.8352222442626953,-2.181549549102783,,,
5,6,ellipse,intruder,0,-4.590452671051025,-2.483212471008301,6.366395425381324,1.4490698175012424,-149.28907392991854
5,7,agent,defender,0,-0.17219269275665283,-0.289766788482666,,,
5,7,agent,defender,1,-1.123039722442627,-0.3544922173023224,,,
5,7,agent,intruder,0,-3.749706983566284,-2.129711866378784,,,
5,7,ellipse,intruder,0,-4.605910301208496,-2.7097506523132324,6.44311168047161,1.398806972523495,-148.9790363169709
5,8,agent,defender,0,-0.266327828168869,-0.3235096037387848,,,
5,8,agent,defender,1,-1.2144795656204224,-0.3949738144874573,,,
5,8,agent,intruder,0,-3.664109230041504,-2.0780107975006104,,,
5,8,ellipse,intruder,0,-4.750116348266602,-2.893254280090332,6.430101996077164,1.3913257390024465,-148.35967189638276
5,9,agent,defender,0,-0.35977962613105774,-0.35910120606422424,,,
5,9,agent,defender,1,-1.3018468618392944,-0.44362521171569824,,,
5,9,agent,intruder,0,-3.5784595012664795,-2.026395559310913,,,
5,9,ellipse,intruder,0,-4.938113689422607,-2.961289405822754,6.181376232191524,1.3424262593676808,-147.9867578427282
5,10,agent,defender,0,-0.4527238607406616,-0.39599791169166565,,,
5,10,agent,defender,1,-1.386587142944336,-0.49672019481658936,,,
5,10,agent,intruder,0,-3.4927709102630615,-1.9748448133468628,,,
5,10,ellipse,intruder,0,-4.813374996185303,-2.7911341190338135,6.323049261035896,1.2238161751528562,-148.4398204726649
5,11,agent,defender,0,-0.545499324798584,-0.43331706523895264,,,
5,11,agent,defender,1,-1.472124457359314,-0.5485213398933411,,,
5,11,agent,intruder,0,-3.407047748565674,-1.923351764678955,,,
