episode,step,category,entity_type,entity_index,x,y,ellipse_width,ellipse_height,ellipse_angle_deg
5,0,agent,defender,0,0.49876460433006287,-0.03512647747993469,,,
5,0,agent,defender,1,0.3211793005466461,0.38320210576057434,,,
5,0,agent,defender,2,-0.0711386427283287,0.4949134290218353,,,
5,0,agent,defender,3,-0.4454628825187683,0.22707445919513702,,,
5,0,agent,defender,4,-0.48377832770347595,-0.12632706761360168,,,
5,0,agent,defender,5,-0.09926625341176987,-0.4900471568107605,,,
5,0,agent,defender,6,0.3305799067020416,-0.3751225471496582,,,
5,0,agent,intruder,0,4.5513997077941895,-2.0699658393859863,,,
5,0,agent,intruder,1,-3.371102809906006,3.692650079727173,,,
5,0,agent,intruder,2,-3.1809775829315186,3.8576395511627197,,,
5,0,ellipse,intruder,0,4.5513997077941895,-2.0699658393859863,6.0,6.0,90.0
5,0,ellipse,intruder,1,-3.371102809906006,3.692650079727173,6.0,6.0,90.0
5,0,ellipse,intruder,2,-3.1809775829315186,3.8576395511627197,6.0,6.0,90.0
5,1,agent,defender,0,0.4202989637851715,0.026866603642702103,,,
5,1,agent,defender,1,0.23987533152103424,0.4414229393005371,,,
5,1,agent,defender,2,-0.14129739999771118,0.5661717653274536,,,
5,1,agent,defender,3,-0.5018222332000732,0.30967968702316284,,,
5,1,agent,defender,4,-0.5416832566261292,-0.04479781538248062,,,
5,1,agent,defender,5,-0.16112986207008362,-0.4114793837070465,,,
5,1,agent,defender,6,0.2683712840080261,-0.29682767391204834,,,
5,1,agent,intruder,0,4.46178674697876,-2.0255870819091797,,,
5,1,agent,intruder,1,-3.3011679649353027,3.6211719512939453,,,
5,1,agent,intruder,2,-3.1128432750701904,3.7844431400299072,,,
5,1,ellipse,intruder,0,4.768707275390625,-1.497068166732788,6.110065724721192,3.4377217981627006,160.11004193854856
5,1,ellipse,intruder,1,-4.289915084838867,2.5938868522644043,6.227420993658987,3.0240262230924486,149.77299086268127
5,1,ellipse,intruder,2,-3.2160561084747314,4.337563991546631,5.795449231743429,3.4455486855691984,123.55633269958408
5,2,agent,defender,0,0.3342258930206299,0.07777268439531326,,,
5,2,agent,defender,1,0.15546946227550507,0.49504801630973816,,,
5,2,agent,defender,2,-0.21102005243301392,0.6378568410873413,,,
5,2,agent,defender,3,-0.5619146227836609,0.38961029052734375,,,
5,2,agent,defender,4,-0.6033414006233215,0.033931292593479156,,,
5,2,agent,defender,5,-0.22634905576705933,-0.335673987865448,,,
5,2,agent,defender,6,0.20000943541526794,-0.22384372353553772,,,
5,2,agent,intruder,0,4.369721412658691,-1.9865490198135376,,,
5,2,agent,intruder,1,-3.2273545265197754,3.553706407546997,,,
5,2,agent,intruder,2,-3.040745735168457,3.7151472568511963,,,
5,2,ellipse,intruder,0,4.761946678161621,-1.6574264764785767,6.207637753128782,2.7668991532592435,160.83694832631997
5,2,ellipse,intruder,1,-3.9903481006622314,3.3581812381744385,5.405587686643208,2.5221226659167,140.7201750886635
5,2,ellipse,intruder,2,-3.243241548538208,4.3932952880859375,5.868675140250295,2.434511491336435,125.04700763898988
5,3,agent,defender,0,0.2534988224506378,0.13679081201553345,,,
5,3,agent,defender,1,0.07119673490524292,0.5488820672035217,,,
5,3,agent,defender,2,-0.2882985770702362,0.7013236284255981,,,
5,3,agent,defender,3,-0.6307879686355591,0.46211177110671997,,,
5,3,agent,defender,4,-0.6673427224159241,0.1107676699757576,,,
5,3,agent,defender,5,-0.2945783734321594,-0.26256608963012695,,,
5,3,agent,defender,6,0.12974293529987335,-0.15269163250923157,,,
5,3,agent,intruder,0,4.277059555053711,-1.948948860168457,,,
5,3,agent,intruder,1,-3.1535775661468506,3.486201286315918,,,
5,3,agent,intruder,2,-2.9685897827148438,3.6459121704101562,,,
5,3,ellipse,intruder,0,4.636232376098633,-2.070131540298462,6.099494299606404,2.4864924318605386,154.58337666920394
5,3,ellipse,intruder,1,-3.8358638286590576,3.594090223312378,5.107301051783259,1.7226906430364368,137.79781087682227
5,3,ellipse,intruder,2,-3.231341600418091,4.317579746246338,5.92281539653413,1.992645054454062,124.89834412983748
5,4,agent,defender,0,0.1844852864742279,0.20915885269641876,,,
5,4,agent,defender,1,-0.004271902143955231,0.6144906282424927,,,
5,4,agent,defender,2,-0.3580116331577301,0.7730180621147156,,,
5,4,agent,defender,3,-0.694291353225708,0.5393602252006531,,,
5,4,agent,defender,4,-0.7287986874580383,0.18965470790863037,,,
5,4,agent,defender,5,-0.3609807789325714,-0.18779495358467102,,,
5,4,agent,defender,6,0.06592323631048203,-0.07570432126522064,,,
5,4,agent,intruder,0,4.184355735778809,-1.9114525318145752,,,
5,4,agent,intruder,1,-3.080442190170288,3.418001413345337,,,
5,4,agent,intruder,2,-2.8970279693603516,3.5760631561279297,,,
5,4,ellipse,intruder,0,4.648842811584473,-1.965283751487732,6.212202498347672,2.273030271859929,156.5278150660208
5,4,ellipse,intruder,1,-3.943904399871826,3.668351411819458,5.000969830820731,1.6632598518689212,137.8332759630012
5,4,ellipse,intruder,2,-3.2855384349823,4.146148204803467,5.878166928740527,1.730609170377125,124.74231959512721
5,5,agent,defender,0,0.12133056670427322,0.2866925895214081,,,
5,5,agent,defender,1,-0.0762326642870903,0.6839287281036377,,,
5,5,agent,defender,2,-0.42557257413864136,0.8467440605163574,,,
5,5,agent,defender,3,-0.7562623023986816,0.6178433299064636,,,
5,5,agent,defender,4,-0.7892301678657532,0.2693292796611786,,,
5,5,agent,defender,5,-0.4263456463813782,-0.11211515218019485,,,
5,5,agent,defender,6,0.006906639784574509,0.005023874342441559,,,
5,5,agent,intruder,0,4.091708660125732,-1.8738161325454712,,,
5,5,agent,intruder,1,-3.0079081058502197,3.3491625785827637,,,
5,5,agent,intruder,2,-2.8260531425476074,3.505617618560791,,,
5,5,ellipse,intruder,0,4.679602146148682,-1.8541227579116821,6.359856446655378,2.0879162966149205,158.31362303377918
5,5,ellipse,intruder,1,-3.6135215759277344,3.8048174381256104,4.409291512493066,1.1426329916747098,142.28593221532088
5,5,ellipse,intruder,2,-3.1632790565490723,4.1341962814331055,5.956699690001933,1.6014846775322835,125.41096404519081
5,6,agent,defender,0,0.061832230538129807,0.3670663833618164,,,
5,6,agent,defender,1,-0.1457267850637436,0.7558354139328003,,,
